"time" "S" "E" "I" "R"
"462062" 463 125 0 0 1176
"463062" 464 125 0 0 1176
"464062" 465 125 0 0 1176
"465062" 466 125 0 0 1176
"466062" 467 125 0 0 1176
"467062" 468 125 0 0 1176
"468062" 469 125 0 0 1176
"469062" 470 125 0 0 1176
"470062" 471 125 0 0 1176
"471062" 472 125 0 0 1176
"472062" 473 125 0 0 1176
"473062" 474 125 0 0 1176
"474062" 475 125 0 0 1176
"475062" 476 125 0 0 1176
"476062" 477 125 0 0 1176
"477062" 478 125 0 0 1176
"478062" 479 125 0 0 1176
"479062" 480 125 0 0 1176
"480062" 481 125 0 0 1176
"481062" 482 125 0 0 1176
"482062" 483 125 0 0 1176
"483062" 484 125 0 0 1176
"484062" 485 125 0 0 1176
"485062" 486 125 0 0 1176
"486062" 487 125 0 0 1176
"487062" 488 125 0 0 1176
"488062" 489 125 0 0 1176
"489062" 490 125 0 0 1176
"490062" 491 125 0 0 1176
"491062" 492 125 0 0 1176
"492062" 493 125 0 0 1176
"493062" 494 125 0 0 1176
"494062" 495 125 0 0 1176
"495062" 496 125 0 0 1176
"496062" 497 125 0 0 1176
"497062" 498 125 0 0 1176
"498062" 499 125 0 0 1176
"499062" 500 125 0 0 1176
"500062" 501 125 0 0 1176
"501062" 502 125 0 0 1176
"502062" 503 125 0 0 1176
"503062" 504 125 0 0 1176
"504062" 505 125 0 0 1176
"505062" 506 125 0 0 1176
"506062" 507 125 0 0 1176
"507062" 508 125 0 0 1176
"508062" 509 125 0 0 1176
"509062" 510 125 0 0 1176
"510062" 511 125 0 0 1176
"511062" 512 125 0 0 1176
"512062" 513 125 0 0 1176
"513062" 514 125 0 0 1176
"514062" 515 125 0 0 1176
"515062" 516 125 0 0 1176
"516062" 517 125 0 0 1176
"517062" 518 125 0 0 1176
"518062" 519 125 0 0 1176
"519062" 520 125 0 0 1176
"520062" 521 125 0 0 1176
"521062" 522 125 0 0 1176
"522062" 523 125 0 0 1176
"523062" 524 125 0 0 1176
"524062" 525 125 0 0 1176
"525062" 526 125 0 0 1176
"526062" 527 125 0 0 1176
"527062" 528 125 0 0 1176
"528062" 529 125 0 0 1176
"529062" 530 125 0 0 1176
"530062" 531 125 0 0 1176
"531062" 532 125 0 0 1176
"532062" 533 125 0 0 1176
"533062" 534 125 0 0 1176
"534062" 535 125 0 0 1176
"535062" 536 125 0 0 1176
"536062" 537 125 0 0 1176
"537062" 538 125 0 0 1176
"538062" 539 125 0 0 1176
"539062" 540 125 0 0 1176
"540062" 541 125 0 0 1176
"541062" 542 125 0 0 1176
"542062" 543 125 0 0 1176
"543062" 544 125 0 0 1176
"544062" 545 125 0 0 1176
"545062" 546 125 0 0 1176
"546062" 547 125 0 0 1176
"547062" 548 125 0 0 1176
"548062" 549 125 0 0 1176
"549062" 550 125 0 0 1176
"550062" 551 125 0 0 1176
"551062" 552 125 0 0 1176
"552062" 553 125 0 0 1176
"553062" 554 125 0 0 1176
"554062" 555 125 0 0 1176
"555062" 556 125 0 0 1176
"556062" 557 125 0 0 1176
"557062" 558 125 0 0 1176
"558062" 559 125 0 0 1176
